# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
190229.9	18	1.571429	1.571429
9837.0	36	0.636364	1.000000
3896.0	54	0.500000	0.800000
2384.6	72	0.636364	0.756098
1821.6	90	0.636364	0.730769
1447.0	108	0.636364	0.714286
1220.0	126	0.384615	0.657895
1087.0	144	1.571429	0.734940
897.0	162	0.800000	0.741935
780.0	181	0.900000	0.757282
703.0	199	0.384615	0.715517
628.0	217	0.636364	0.708661
549.2	235	0.636364	0.702899
485.0	253	0.125000	0.642857
431.9	271	1.000000	0.662577
385.6	295	0.411765	0.638889
345.6	314	0.727273	0.643979
316.0	338	1.000000	0.665025
300.9	356	3.500000	0.719807
274.6	397	0.863636	0.733624
255.0	415	1.250000	0.751055
232.6	433	0.500000	0.738956
215.9	469	1.000000	0.756554
210.0	487	1.571429	0.777372
194.6	505	0.636364	0.771930
178.6	567	0.550000	0.744615
166.0	586	0.461538	0.733728
155.9	604	0.636364	0.730659
143.9	623	0.357143	0.716253
134.9	641	1.250000	0.727763
128.9	709	1.060606	0.754950
121.6	727	0.800000	0.756039
114.6	747	1.222222	0.765957
109.8	767	0.666667	0.763218
104.8	786	0.357143	0.750557
99.6	804	0.636364	0.747826
91.2	823	0.583333	0.743644
88.8	852	1.230769	0.756701
84.8	875	0.916667	0.760563
80.6	1001	0.880597	0.774823
78.2	1019	1.000000	0.778360
71.6	1037	0.384615	0.769625
69.3	1055	0.500000	0.764214
64.2	1100	0.875000	0.768489
60.6	1135	1.187500	0.778997
58.2	1153	0.500000	0.773846
53.3	1171	0.800000	0.774242
48.8	1190	0.461538	0.768202
47.2	1209	0.583333	0.764964
43.3	1228	0.357143	0.756795
39.3	1450	0.734375	0.753325
37.2	1705	0.624204	0.732724
35.3	1738	0.736842	0.732802
32.4	1759	0.615385	0.731299
31.4	1770	0.375000	0.728516
