SampleID,aligned_est_fold_cov,aligned_frac_bases,aligned_num_bases,aligned_num_reads,aligned_read_length,average_identity
S3_WGS-batchC_4051002301-ST140_S9,36.83901650373536,0.8464303182523893,859558841,5886526,250,99.18137750851196
S3_WGS-batchC_4051002565-ST151_S20,581.1314116983364,0.9948982667860783,13559445667,82113977,250,98.4876332260464
S3_WGS-batchD_4051002323-ST156_S5,431.85816333794617,0.9877439015931307,10076476996,61078973,250,98.64183198101551
S3_WGS-batchD_4051126067-ST153_S2,176.18086847468498,0.9562789520498101,4110799839,25438176,250,98.70430003682795
S3_WGS-batchD_4051126590-ST167_S16,519.7707237854768,0.9961297235681967,12127726615,66149182,250,98.66578517856868
S3_WGS-batchD_4051126637-ST157_S6,37.07555775788793,0.8924110184858721,865078020,5225669,250,99.2842696431011
S3_WGS-batchD_8045353103-ST170_S19,640.4693588294164,0.9918803931354437,14943968434,89908752,250,98.50878480515934
S3_WGS-batchD_8045358957-ST158_S7,704.7255790004808,0.9961965611920741,16443248474,92871608,250,98.65040879026493
S3_WGS-batchE_4051125829-ST180_S9,383.65138305715817,0.9813621286148506,8951675953,51288061,250,98.53592602448843
S3_WGS-batchE_4051125965-ST172_S1,739.6103325017585,0.9965711659259696,17257208811,95400441,250,98.66136279899013
